A    AX 
AGUIAR   A G I A+ RR 
AL   A+ W 
ALBERTO  A L B E RR T UX 
ALENCAR  A L E~ K A+ RR 
ALIVIADA     A L I V I A D AX 
ALVES    A L V IX S 
AMARAL   A M A R A+ W 
ANA  A N AX 
ANGELA   A~ G E L AX 
AR   A+ RR 
ARIEL    A R I E+ W 
AUGUSTO  A U G U S T UX 
AZEVEDO  A+ S E V E D UX 
Abaixo   A B A+ I SCH UX 
Abel     A B E+ W 
Abelardo     A B E L A+ RR D UX 
Abertas  A B E+ RR T AX S 
Aberto   A B E+ RR T UX 
Abraão   A B R A A~+ W~ 
Abraçou  A B R A S O+ 
Abreu    A B R E+ UX 
Academia     A K A D E M I+ AX 
Acesso   A S E+ S UX 
Achamos  A SCH A~+ M UX S 
Acho     A+ SCH UX 
Acompanha    A K O~ P A~+ NJ AX 
Acompanhado  A K O~ P A~ NJ A+ D UX 
Acompanhando     A K O~ P A~ NJ A~+ D UX 
Acontece     A K O~ T E+ S IX 
Acordo   A K O+ RR D UX 
Acre     A+ K R IX 
Acredito     A K R E DJ I+ T UX 
Acusa    A K U+ Z AX 
Adam     A+ D A~+ W~ 
Adams    A D A~+ S 
Ademir   A D E M I+ RR 
Administrativa   A DJ I M I N I S T R A TJ I+ V AX 
Administrativo   A DJ I M I N I S T R A TJ I+ V UX 
Administração    A DJ I M I N I S T R A S A~+ W~ 
Admira   A DJ I M I+ R AX 
Adolescente  A D O L E S E~+ TJ IX 
Adriana  A D R I A~+ N AX 
Adriano  A D R I A~+ N UX 
Adão     A D A~+ W~ 
Aeronáutica  A E R O N A+ U TJ I K AX 
Aeroporto    A E R O P O+ RR T UX 
Afeganistão  A F E G A N I S T A~+ W~ 
Afinal   A F I N A+ W 
Afirma   A F I RR M AX 
Afirmou  A F I RR M O+ 
Afonso   A F O~+ S UX 
Africana     A F R I K A~+ N AX 
Africano     A F R I K A~+ N UX 
Agendado     A Z E~ D A+ D UX 
Agindo   A Z I~+ D UX 
Agnaldo  A G N A+ W D UX 
Agonia   A G O N I+ AX 
